Name,Default,Gemini 2012 20121026,Gemini 2012 20121026 Early,Gemini 2012 20121026 Mid,Gemini 2012 20121026 Late,Gemini 2012 20121114 Late,Gemini 2012 20121114,TA2 2012,Gemini 2012 George 10mm,Gemini 2012 George 15mm,Gemini Positron 20130123,Gemini Positron 20130207,Synthetic,Gemini 2012 20121113,Gemini 2012 20121113 Early,Gemini 2012 20121102,Gemini 2012 20121106,Gemini 2012 20121109 Step,Gemini 2012 20121109 Early,Gemini Positron 20130218,Jena 2013 20130425,Jena 2013 20130426,Jena 2013 20130429,Jena 2013 20130501,Raytraced,Gemini 2012 20121105,Gemini 2012 20121108,Gemini 2012 20121109,Gemini Positron 20130222,Sarri2Beam 20131004,Gemini 2013 20131209,Gemini Positron 20130219,Murphy2013,Gemini Positron 20130213,MoireTest,MoireTestInt,Gemini 2015 20150818,Hazels Blastwave,Ollies Interferograms,GeminiMangles2015,Gemini 2015 20150901,Gemini 2015 20150902,Gemini 2015 20150903,TA2 2016 20160331,TA2 2016 20160324
micperpix,1,6.5678,6.5678,6.5678,6.5678,3.77797152,3.77797152,0.44,31.7,25.2,9.178990311,9.202,13.38,3.77,3.77,2.9,4.4,7.45,7.45,9.18,0.7,0.35,0.35,0.35,0.27,3.2,8.4,8.4,9.2,7.51,11.83,9.2,6.14,9.22,1,1,18.6,1,1,0.5,18.48,20.23,19.3,8,8
rotation,0,-2,0,0,0,-1,-1,91.5,-270.3,-92.5,0,-2,0,-1,-1,0,0.68,-1.41,-1.41,-1.9,-2,0,0,0,0,0.8,-1,-1,-2.4,0,-2,-1.8,-0.5,-2.37,91,-91,-2,0,0,0,-1,-1,-1.1,0,0.7
x,0,2100,2057,2388,2984,2069,454,1,350,290,0,1765,1,399,0,514,400,1318,0,2126,217,1,265,379,5,1000,1100,1100,1800,100,2200,1900,1415,1800,800,1,400,3500,120,1,720,609,677,0,6
y,0,1750,1707,1700,1675,1779,1778,40,5,130,0,2028,1,1941,0,1693,1335,1532,0,2195,16,1,537,9,3,1500,1400,1500,1450,300,1200,1900,800,2100,200,50,600,2400,120,500,537,532,546,0,123
w,0,1400,377,447,377,344,2178,479,600,740,0,1422,747,3506,0,3305,3600,47,0,1097,192,1000,400,227,461,3000,2100,2100,1900,600,320,1500,1100,1400,1200,1500,600,3500,1100,300,351,770,477,0,623
h,0,300,213,227,230,341,313,450,1020,910,0,196,299,532,0,517,419,81,0,271,478,700,99,757,62,500,300,200,230,250,200,300,250,200,1800,1900,400,800,600,500,104,253,278,0,241
xfft,0,635,153,192,168,160,1014,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,0,0,205,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0
yfft,0,126,87,95,107,154,141,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,115,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0
wfft,0,41,33,27,15,8,52,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,32,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
hfft,0,48,37,43,18,35,32,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,34,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
reference,None,/Volumes/Gemini2012/ServerData/20121026/20121026r001/20121026r001_s039_F20_Interferometer.fit,0,0,0,/Volumes/G2012_BK1/2012Gemini/ServerData/20121114/20121114r001/20121114r001_s003_F20_Interferometer.fit,/Volumes/G2012_BK1/2012Gemini/ServerData/20121114/20121114r001/20121114r001_s003_F20_Interferometer.fit,/Volumes/ATA2_2012/20120820/20120820r001/20120820r001_s001_Interferometer.TIF,/Users/jmc208/Copy/Experiments/Dropbox - 2012GeminiElectron/nozzle calibration/10mm single/Argon/Vacuum/102.1 bar/Movie1_Scene128_1-Grablink Express PCIe_00.bmp,/Users/jmc208/Copy/Experiments/Dropbox - 2012GeminiElectron/nozzle calibration/15mm/103.0/Movie1_Scene467_1-Grablink Express PCIe_00.bmp,0,/Volumes/Drobo/Experimental Data/2013GeminiSarri/20130207/20130207r002/20130207r002_s015_F20_Interferometer.fit,SyntheticReference.tiff,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121113/20121113r001/20121113r001_s001_F20_Interferometer.fit,/Volumes/G2012_BK1/2012Gemini/ServerData/20121113/20121113r001/20121113r001_s001_F20_Interferometer.fit,/Volumes/G2012_BK1/2012Gemini/ServerData/20121102/20121102r001/20121102r001_s006_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121106/20121106r002/20121106r002_s012_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121109/20121109r001/20121109r001_s001_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121109/20121109r001/20121109r001_s001_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2013GeminiSarri/20130218/20130218r001/20130218r001_s007_F20_Interferometer.fit,/Volumes/JENA1/Data/130425/SideViewIF/set003/520_Optimieren_ShadowView_002053_.png,/Volumes/Drobo/Experimental Data/2013 Jena/Data/130429/SideViewIF/IntRef.png,/Users/jmc208/Documents/Experiments/Jena 2013/WakefieldReference2.png,/Volumes/JENA1/Data/130501/SideViewIF/set005/1242_Optimieren_SideViewIF_000906_.png,/Users/jmc208/Documents/MATLAB/Shadowgraphy/Reference.tiff,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121105/20121105r001/20121105r001_s025_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121108/20121108r001/20121108r001_s067_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2012_Oct_Gemini/ServerData/20121108/20121108r001/20121108r001_s067_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2013GeminiSarri/20130222/20130222r001/20130222r001_s007_F20_Interferometer.fit,None,/Volumes/GeminiAutumn2013/2013GeminiNajmudin/Data/20131209/20131209r001/20131209r001s003_Interferometry.fit,None,/Volumes/GeminiMurphy2013/20131105/20131105r002/20131105r002_s004_F20_Interferometer.fit,/Volumes/Drobo/Experimental Data/2013GeminiSarri/20130213/20130213r003/20130213r003_s016_F20_Interferometer.fit,/Users/jmc208/Copy/MoireData/Moire_15-3mm-scan_00022.tiff,/Users/jmc208/Copy/data00245.tiff,None,/Users/jmc208/Desktop/Interferograms/s545_background.jpg,/Users/jmc208/Desktop/Ollies Interferograms/Refsmall.png,None,/Volumes/Gemini2015/Data/20150901/20150901r001/20150901r001s006_Moire1.raw,None,/Volumes/Gemini2015/Data/20150903/20150903r004/20150903r004s002_Moire1.raw,/Volumes/ATA2_2016DSTL/20160331/20160331r005/20160331r005s036_Interferometry.raw,None
hsmooth1,0.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.005,2e-05,0.0001,0.0001,0.0001,1.00E-05,0.0001,0.0001,0.0001,1.00E-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.00E-06,5.00E-08,5.00E-06,1.00E-06,5.00E-07,0.001,0.004,0.1,0.001,0.1,0.001,0.1,0.005,1.00E-05,0.2,0.01,0.1,0.1,0.04,0.9,0.1
hsmooth2,0.001,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.999,0.001,0.009,0.009,0.1,0.1,0.0005,0.0001,0.0001,1.00E-05,1.00E-06,0.001,0.0001,0.1,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001
asmooth,0.1,0.001,,,,,,5e-05,1e-05,5e-05,,0.0005,,,,,0.0005,,,,,,,,,0.0001,0.0005,0.005,0.0005,0.1,0.0001,0.01,0.01,0.1,1.00E-06,0.1,0.1,0.1,0.1,1e-05,0.01,0.1,0.01,0.01,0.005
ymid,0,0,0,0,0,0,0,0,0,382,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,100,171,0,111,0,0,0,0,0,0,0,0,213,0,103
nfringes,50,,,,,,,48,30,67,,,24,50,,,,,,,,100,40,,,,,,70,50,9,50,25,50,9,50,14,170,64,50,25,50,23,45,40
CWT_fringelo,0.5,,,,,,,0.8,0.5,0.8,,,0.5,,,,,,,,,0.5,0.5,,,,,,0.5,,0.5,0.5,0.2,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.95,0.9,0.9
CWT_fringehi,2,,,,,,,1.2,2,1.2,,,2,,,,,,,,,2,2,,,,,,2,,2,2,3,3,1.1,2,2,2,2,2,2,2,1.05,1.1,1.1
CWT_ntheta,5,,,,,,,5,11,5,,,11,,,,,,,,,21,5,,,,,,5,,21,10,11,5,3,5,5,5,5,5,5,5,5,11,5
CWT_nlambda,5,,,,,,,5,10,5,,,11,,,,,,,,,51,5,,,,,,5,,5,10,10,11,5,5,5,5,5,5,50,5,2,5,5
Moire_p_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,,,,,,,
Moire_d_mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,2,,,,,,,,